,date_time_customer,bigbuy_order_id,delta
2,2019-06-27T01:06:51.000+02:00,11513134,3.0
11,2019-04-29T20:12:55.000+02:00,11442653,4.0
15,2019-06-23T14:44:49.000+02:00,11507427,3.0
24,2019-06-26T21:49:52.000+02:00,11512826,3.0
33,2019-06-26T10:04:08.000+02:00,11511490,3.0
34,2019-07-02T18:36:53.000+02:00,11520743,3.0
38,2019-06-25T19:03:10.000+02:00,11510845,3.0
39,2019-07-02T17:20:09.000+02:00,11520629,3.0
41,2019-04-29T19:53:13.000+02:00,11442588,3.0
46,2019-07-01T19:16:37.000+02:00,11518888,3.0
52,2019-04-18T23:27:00.000+02:00,11432727,3.0
53,2019-04-17T23:16:13.000+02:00,11431891,4.0
58,2019-07-11T23:01:44.000+02:00,11536123,3.0
73,2019-06-30T19:22:43.000+02:00,11517251,3.0
74,2019-06-28T13:56:10.000+02:00,11515206,3.0
77,2019-04-18T10:14:17.000+02:00,11432020,3.0
80,2019-06-24T16:05:06.000+02:00,11508834,3.0
89,2019-06-26T21:45:34.000+02:00,11512824,5.0
98,2019-06-25T12:15:47.000+02:00,11510132,3.0
104,2019-06-23T22:03:04.000+02:00,11507764,3.0
120,2019-07-01T02:19:24.000+02:00,11517480,3.0
123,2019-06-26T20:51:14.000+02:00,11512741,3.0
127,2019-06-25T11:55:03.000+02:00,11510070,3.0
136,2019-07-03T19:36:29.000+02:00,11522600,3.0
146,2019-04-08T13:46:01.000+02:00,11420740,3.0
152,2019-07-02T15:05:21.000+02:00,11520412,3.0
153,2019-04-25T23:38:21.000+02:00,11439101,3.0
155,2019-06-26T20:16:16.000+02:00,11512688,3.0
157,2019-05-14T15:29:46.000+02:00,11459076,3.0
189,2019-06-26T12:07:33.000+02:00,11511758,3.0
194,2019-06-25T16:02:14.000+02:00,11510541,3.0
203,2019-06-28T18:25:07.000+02:00,11515541,3.0
228,2019-07-01T17:21:00.000+02:00,11518690,3.0
236,2019-04-25T20:01:55.000+02:00,11438794,3.0
251,2019-07-02T08:05:55.000+02:00,11519408,8.0
258,2019-07-08T23:48:28.000+02:00,11530975,3.0
266,2019-07-29T23:45:57.000+02:00,11559936,3.0
270,2019-05-03T13:20:11.000+02:00,11446500,3.0
273,2019-06-26T11:08:56.000+02:00,11511630,3.0
287,2019-06-26T14:09:01.000+02:00,11512040,3.0
289,2019-06-26T19:40:44.000+02:00,11512646,3.0
293,2019-06-26T23:12:35.000+02:00,11513130,4.0
